,identifier,PLUS,MINUS,MULTIPLY,PERIOD,SEMICOLON,DIVIDE,LESS,EQUAL,LEFTPARENT,RIGHTPARENT,LEFTBRACKET,RIGHTBRACKET,COLON,NUMBER,if,then,else,not,or,and,print,program,begin,end,return,boolean,function,$
<EXPR>,,,,,,,,,,,<SIMPLE-EXPR> <EXPR-PRIME>,,,,,,<SIMPLE-EXPR> <EXPR-PRIME>,<SIMPLE-EXPR> <EXPR-PRIME>,,,,,,,<SIMPLE-EXPR> <EXPR-PRIME>,,,,<SIMPLE-EXPR> <EXPR-PRIME>
<EXPR-PRIME>,,,,,,,,LESS <SIMPLE-EXPR>,EQUAL <SIMPLE-EXPR>,,,,,,,,,,,,,,,,,,,,ε
<SIMPLE-EXPR>,,,,,,,,<TERM> <SE-PRIME>,<TERM> <SE-PRIME>,,<TERM> <SE-PRIME>,,,,,,<TERM> <SE-PRIME>,<TERM> <SE-PRIME>,,,,,,,<TERM> <SE-PRIME>,,,,<TERM> <SE-PRIME>
<SE-PRIME>,,PLUS <TERM> ,MINUS <TERM>,,,,,,,,,,,,,,,,,or <TERM>,,,,,,,,,ε
<TERM>,, <FACTOR> <TERM-PRIME>,<FACTOR> <TERM-PRIME>,,,,,<FACTOR> <TERM-PRIME>,<FACTOR> <TERM-PRIME>,, <FACTOR> <TERM-PRIME>,,,,,,<FACTOR> <TERM-PRIME>,<FACTOR> <TERM-PRIME>,,,,,,,<FACTOR> <TERM-PRIME>,,,,<FACTOR> <TERM-PRIME>
<TERM-PRIME>,,,, MULTIPLY <FACTOR> ,,, DIVIDE <FACTOR>,,,,,,,,,,,,,,and <FACTOR>,,,,,,,,ε
<FACTOR>,<IDENTIFIER> <FACTOR-REST>,LEFTPARENT <EXPR> RIGHTPARENT,MINUS <FACTOR> ,LEFTPARENT <EXPR> RIGHTPARENT,,,LEFTPARENT <EXPR> RIGHTPARENT,LEFTPARENT <EXPR> RIGHTPARENT, LEFTPARENT <EXPR> RIGHTPARENT,,LEFTPARENT <EXPR> RIGHTPARENT,,,,,if <EXPR> then <EXPR> else <EXPR> ,if <EXPR> then <EXPR> else <EXPR>,if <EXPR> then <EXPR> else <EXPR>,not <FACTOR> ,,,,,,,,,,<IDENTIFIER> <FACTOR-REST> 
<FACTOR-REST>,,LEFTPARENT <ACTUALS> RIGHTPARENT , LEFTPARENT <ACTUALS> RIGHTPARENT , LEFTPARENT <ACTUALS> RIGHTPARENT ,,,LEFTPARENT <ACTUALS> RIGHTPARENT , LEFTPARENT <ACTUALS> RIGHTPARENT,LEFTPARENT <ACTUALS> RIGHTPARENT ,LEFTPARENT <ACTUALS> RIGHTPARENT ,LEFTPARENT <ACTUALS> RIGHTPARENT ,,,,,,LEFTPARENT <ACTUALS> RIGHTPARENT ,LEFTPARENT <ACTUALS> RIGHTPARENT ,, LEFTPARENT <ACTUALS> RIGHTPARENT , LEFTPARENT <ACTUALS> RIGHTPARENT ,,,, LEFTPARENT <ACTUALS> RIGHTPARENT,,,,ε
<ACTUALS>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
<NONEMPTYACTUALS>,,,,,,,,,,,<EXPR> <NONEMPTYACTUALS-REST>,,,,,,,,,,,,,,,,,,<EXPR> <NONEMPTYACTUALS-REST>
<NONEMPTYACTUALS-REST>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
<LITERAL>,,,,,,,,,,,,,,,<NUMBER>,,,,,,,,,,,,<BOOLEAN>,,
<PRINT-STATEMENT>,,,,,,,,,,print LEFTPARENT <EXPR> RIGHTPARENT SEMICOLON,print LEFTPARENT <EXPR> RIGHTPARENT SEMICOLON,,,,,,,,,,, print LEFTPARENT <EXPR> RIGHTPARENT SEMICOLON,,,,,,,
